Date	SampleID	LibraryID	FullID	Homolka species	Homolka lineage	Homolka group	Quality	Coll lineage (branch)	Coll lineage_name (branch)	Coll quality (branch)	Coll lineage (easy)	Coll lineage_name (easy)	Coll quality (easy)	Beijing lineage (easy)	Beijing quality (easy)
'2024-05-22	'1597-04	'illumina	'1597-04_illumina	'M. tuberculosis	'4.3	'LAM	'good	'4.3.3	'LAM	'good	'4.3.3	'LAM	'good	'unknown	'good
'2024-05-22	'1599-04	'illumina	'1599-04_illumina	'M. tuberculosis	'4.1.2.1	'Haarlem	'good	'4.1.2.1	'Haarlem	'good	'4.1.2.1	'Haarlem	'good	'unknown	'good
'2024-05-22	'1779-04	'illumina	'1779-04_illumina	'M. tuberculosis	'unknown	'Clade 1	'good	'4.8	'mainly T	'good	'4.8	'mainly T	'good	'unknown	'good
'2024-05-22	'1780-04	'illumina	'1780-04_illumina	'M. tuberculosis	'unknown	'Clade 1	'good	'4.8	'mainly T	'good	'4.8	'mainly T	'good	'unknown	'good
'2024-05-22	'1783-04	'illumina	'1783-04_illumina	'M. tuberculosis	'unknown	'Clade 1	'good	'4.1	'Euro-American	'good	'4.1	'Euro-American	'good	'unknown	'good
'2024-05-22	'2509-04	'illumina	'2509-04_illumina	'M. tuberculosis	'4.3	'LAM	'good	'4.3.3	'LAM	'good	'4.3.3	'LAM	'good	'unknown	'good
'2024-05-22	'3154-04	'illumina	'3154-04_illumina	'M. tuberculosis	'4.1.2.1	'Haarlem	'good	'4.1.2.1	'Haarlem	'good	'4.1.2.1	'Haarlem	'good	'unknown	'good
'2024-05-22	'3156-04	'illumina	'3156-04_illumina	'M. tuberculosis	'unknown	'Clade 1	'good	'4.1.1.3	'X-type	'good	'4.1.1.3	'X-type	'good	'unknown	'good
'2024-05-22	'3158-04	'illumina	'3158-04_illumina	'M. tuberculosis	'unknown	'Clade 1	'good	'4.8	'mainly T	'good	'4.8	'mainly T	'good	'unknown	'good
'2024-05-22	'3160-04	'illumina	'3160-04_illumina	'M. africanum	'6	'West African 2	'good	'6	'West-Africa 2	'good	'6	'West-Africa 2	'good	'unknown	'good
'2024-05-22	'3491-04	'illumina	'3491-04_illumina	'M. tuberculosis	'1	'EAI	'good	'1.1.1	'EAI	'bad	'1.1.1	'EAI	'bad	'unknown	'good
'2024-05-22	'3494-04	'illumina	'3494-04_illumina	'M. africanum	'5	'West African 1a	'good	'5	'West-Africa 1	'bad	'5	'West-Africa 1	'bad	'unknown	'good
'2024-05-22	'3496-04	'illumina	'3496-04_illumina	'M. tuberculosis	'4.1.2.1	'Haarlem	'good	'4.1.2.1	'Haarlem	'good	'4.1.2.1	'Haarlem	'good	'unknown	'good
'2024-05-22	'3497-04	'illumina	'3497-04_illumina	'M. tuberculosis	'unknown	'Clade 1	'good	'4.8	'mainly T	'good	'4.8	'mainly T	'good	'unknown	'good
'2024-05-22	'3734-04	'illumina	'3734-04_illumina	'M. tuberculosis	'4.6.2.2	'Cameroon	'good	'4.6.2.2	'Cameroon	'good	'4.6.2.2	'Cameroon	'good	'unknown	'good
'2024-05-22	'3736-04	'illumina	'3736-04_illumina	'M. tuberculosis	'unknown	'Clade 1	'good	'4.1	'Euro-American	'good	'4.1	'Euro-American	'good	'unknown	'good
'2024-05-22	'3859-03	'illumina	'3859-03_illumina	'M. tuberculosis	'unknown	'Clade 1	'good	'4.1	'Euro-American	'good	'4.1	'Euro-American	'good	'unknown	'good
'2024-05-22	'3861-03	'illumina	'3861-03_illumina	'M. tuberculosis	'unknown	'Clade 1	'good	'4.6	'Euro-American	'good	'4.6	'Euro-American	'good	'unknown	'good
'2024-05-22	'3865-03	'illumina	'3865-03_illumina	'M. tuberculosis	'4.3	'LAM	'good	'4.3.3	'LAM	'good	'4.3.3	'LAM	'good	'unknown	'good
'2024-05-22	'4139-04	'illumina	'4139-04_illumina	'M. africanum	'6	'West African 2	'good	'6	'West-Africa 2	'good	'6	'West-Africa 2	'good	'unknown	'good
'2024-05-22	'4145-04	'illumina	'4145-04_illumina	'M. tuberculosis	'4.3	'LAM	'good	'4.3.3	'LAM	'good	'4.3.3	'LAM	'good	'unknown	'good
'2024-05-22	'4148-04	'illumina	'4148-04_illumina	'M. tuberculosis	'4.1.2.1	'Haarlem	'good	'4.1.2.1	'Haarlem	'good	'4.1.2.1	'Haarlem	'good	'unknown	'good
'2024-05-22	'420-04	'illumina	'420-04_illumina	'M. tuberculosis	'unknown	'Clade 1	'good	'4.1	'Euro-American	'good	'4.1	'Euro-American	'good	'unknown	'good
'2024-05-22	'421-04	'illumina	'421-04_illumina	'M. africanum	'6	'West African 2	'good	'6	'West-Africa 2	'good	'6	'West-Africa 2	'good	'unknown	'good
'2024-05-22	'4514-03	'illumina	'4514-03_illumina	'M. tuberculosis	'4.1.2.1	'Haarlem	'good	'4.1.2.1	'Haarlem	'good	'4.1.2.1	'Haarlem	'good	'unknown	'good
'2024-05-22	'4516-03	'illumina	'4516-03_illumina	'M. tuberculosis	'unknown	'Clade 1	'good	'4.1.1.1	'X-type	'good	'4.1.1.1	'X-type	'good	'unknown	'good
'2024-05-22	'4518-03	'illumina	'4518-03_illumina	'M. africanum	'5	'West African 1a	'good	'5	'West-Africa 1	'bad	'5	'West-Africa 1	'bad	'unknown	'good
'2024-05-22	'4523-03	'illumina	'4523-03_illumina	'M. tuberculosis	'4.3	'LAM	'good	'4.3.3	'LAM	'good	'4.3.3	'LAM	'good	'unknown	'good
'2024-05-22	'4712-04	'illumina	'4712-04_illumina	'M. africanum	'6	'West African 2	'good	'6	'West-Africa 2	'good	'6	'West-Africa 2	'good	'unknown	'good
'2024-05-22	'4714-04	'illumina	'4714-04_illumina	'M. tuberculosis	'4.4.1.1	'S-type	'good	'4.4.1.1	'S-type	'good	'4.4.1.1	'S-type	'good	'unknown	'good
'2024-05-22	'4717-04	'illumina	'4717-04_illumina	'M. tuberculosis	'1	'EAI	'good	'1.1.1	'EAI	'bad	'1.1.1	'EAI	'bad	'unknown	'good
'2024-05-22	'4724-03	'illumina	'4724-03_illumina	'M. tuberculosis	'2	'Beijing	'good	'2.2.1	'Beijing	'good	'2.2.1	'Beijing	'good	'Ancestral 3	'good
'2024-05-22	'4730-03	'illumina	'4730-03_illumina	'M. tuberculosis	'2	'Beijing	'good	'2.2.1	'Beijing	'good	'2.2.1	'Beijing	'good	'Ancestral 3	'good
'2024-05-22	'4779-04	'illumina	'4779-04_illumina	'M. tuberculosis	'unknown	'Clade 1	'good	'4.8	'mainly T	'good	'4.8	'mainly T	'good	'unknown	'good
'2024-05-22	'4781-04	'illumina	'4781-04_illumina	'M. tuberculosis	'4.1.2.1	'Haarlem	'good	'4.1.2.1	'Haarlem	'good	'4.1.2.1	'Haarlem	'good	'unknown	'good
'2024-05-22	'4783-04	'illumina	'4783-04_illumina	'M. tuberculosis	'4.6.2.2	'Cameroon	'good	'4.6.2.2	'Cameroon	'good	'4.6.2.2	'Cameroon	'good	'unknown	'good
'2024-05-22	'4785-04	'illumina	'4785-04_illumina	'M. tuberculosis	'4.1.2.1	'Haarlem	'good	'4.1.2.1	'Haarlem	'good	'4.1.2.1	'Haarlem	'good	'unknown	'good
'2024-05-22	'5248-04	'illumina	'5248-04_illumina	'M. tuberculosis	'unknown	'Clade 1	'good	'4.1.1.3	'X-type	'good	'4.1.1.3	'X-type	'good	'unknown	'good
'2024-05-22	'5253-04	'illumina	'5253-04_illumina	'M. africanum	'6	'West African 2	'good	'6	'West-Africa 2	'good	'6	'West-Africa 2	'good	'unknown	'good
'2024-05-22	'5468-03	'illumina	'5468-03_illumina	'M. tuberculosis	'4.3	'LAM	'good	'4.3.3	'LAM	'good	'4.3.3	'LAM	'good	'unknown	'good
'2024-05-22	'5472-03	'illumina	'5472-03_illumina	'M. tuberculosis	'unknown	'Clade 1	'good	'4.8	'mainly T	'good	'4.8	'mainly T	'good	'unknown	'good
'2024-05-22	'5685-04	'illumina	'5685-04_illumina	'M. tuberculosis	'unknown	'Clade 1	'good	'4.8	'mainly T	'good	'4.8	'mainly T	'good	'unknown	'good
'2024-05-22	'5687-04	'illumina	'5687-04_illumina	'M. tuberculosis	'unknown	'Clade 1	'good	'4.8	'mainly T	'good	'4.8	'mainly T	'good	'unknown	'good
'2024-05-22	'5870-03	'illumina	'5870-03_illumina	'M. africanum	'6	'West African 2	'good	'6	'West-Africa 2	'good	'6	'West-Africa 2	'good	'unknown	'good
'2024-05-22	'5872-03	'illumina	'5872-03_illumina	'M. tuberculosis	'unknown	'Ghana	'good	'4.1	'Euro-American	'good	'4.1	'Euro-American	'good	'unknown	'good
'2024-05-22	'6429-03	'illumina	'6429-03_illumina	'M. tuberculosis	'unknown	'Clade 1	'good	'4.1	'Euro-American	'good	'4.1	'Euro-American	'good	'unknown	'good
'2024-05-22	'6435-03	'illumina	'6435-03_illumina	'M. africanum	'6	'West African 2	'good	'6	'West-Africa 2	'good	'6	'West-Africa 2	'good	'unknown	'good
'2024-05-22	'6463-04	'illumina	'6463-04_illumina	'M. tuberculosis	'unknown	'Clade 1	'good	'4.8	'mainly T	'good	'4.8	'mainly T	'good	'unknown	'good
'2024-05-22	'6467-04	'illumina	'6467-04_illumina	'M. tuberculosis	'4.1.2.1	'Haarlem	'good	'4.1.2.1	'Haarlem	'good	'4.1.2.1	'Haarlem	'good	'unknown	'good
'2024-05-22	'6637-04	'illumina	'6637-04_illumina	'M. tuberculosis	'1	'EAI	'good	'1.1.1	'EAI	'bad	'1.1.1	'EAI	'bad	'unknown	'good
'2024-05-22	'6639-04	'illumina	'6639-04_illumina	'M. tuberculosis	'4.3	'LAM	'good	'4.3.4.2	'LAM	'good	'4.3.4.2	'LAM	'good	'unknown	'good
'2024-05-22	'6640-04	'illumina	'6640-04_illumina	'M. tuberculosis	'4.1.2.1	'Haarlem	'good	'4.1.2.1	'Haarlem	'good	'4.1.2.1	'Haarlem	'good	'unknown	'good
'2024-05-22	'6769-04	'illumina	'6769-04_illumina	'M. africanum	'6	'West African 2	'good	'6	'West-Africa 2	'good	'6	'West-Africa 2	'good	'unknown	'good
'2024-05-22	'6771-04	'illumina	'6771-04_illumina	'M. tuberculosis	'4.4.1.1	'S-type	'good	'4.4.1.1	'S-type	'good	'4.4.1.1	'S-type	'good	'unknown	'good
'2024-05-22	'6775-04	'illumina	'6775-04_illumina	'M. africanum	'6	'West African 2	'good	'6	'West-Africa 2	'good	'6	'West-Africa 2	'good	'unknown	'good
'2024-05-22	'6892-04	'illumina	'6892-04_illumina	'M. africanum	'6	'West African 2	'good	'6	'West-Africa 2	'good	'6	'West-Africa 2	'good	'unknown	'good
'2024-05-22	'6895-04	'illumina	'6895-04_illumina	'M. tuberculosis	'1	'EAI	'good	'1.1.1	'EAI	'bad	'1.1.1	'EAI	'bad	'unknown	'good
'2024-05-22	'6897-04	'illumina	'6897-04_illumina	'M. africanum	'5	'West African 1a	'good	'5	'West-Africa 1	'bad	'5	'West-Africa 1	'bad	'unknown	'good
'2024-05-22	'7000-03	'illumina	'7000-03_illumina	'M. tuberculosis	'4.3	'LAM	'good	'4.3.4.2	'LAM	'good	'4.3.4.2	'LAM	'good	'unknown	'good
'2024-05-22	'7135-04	'illumina	'7135-04_illumina	'M. tuberculosis	'2	'Beijing	'good	'2.2.1	'Beijing	'good	'2.2.1	'Beijing	'good	'Ancestral 3	'good
'2024-05-22	'7514-04	'illumina	'7514-04_illumina	'M. tuberculosis	'4.3	'LAM	'good	'4.3.4.1	'LAM	'good	'4.3.4.1	'LAM	'good	'unknown	'good
'2024-05-22	'7516-04	'illumina	'7516-04_illumina	'M. tuberculosis	'4.3	'LAM	'good	'4.3.4.1	'LAM	'good	'4.3.4.1	'LAM	'good	'unknown	'good
'2024-05-22	'7517-04	'illumina	'7517-04_illumina	'M. tuberculosis	'unknown	'Clade 1	'good	'4.1.1.3	'X-type	'good	'4.1.1.3	'X-type	'good	'unknown	'good
'2024-05-22	'7520-04	'illumina	'7520-04_illumina	'M. tuberculosis	'4.3	'LAM	'good	'4.3.3	'LAM	'good	'4.3.3	'LAM	'good	'unknown	'good
'2024-05-22	'7538-03	'illumina	'7538-03_illumina	'M. tuberculosis	'unknown	'Clade 1	'good	'4.1.1.3	'X-type	'good	'4.1.1.3	'X-type	'good	'unknown	'good
'2024-05-22	'8082-03	'illumina	'8082-03_illumina	'M. tuberculosis	'unknown	'Clade 1	'good	'4.1	'Euro-American	'good	'4.1	'Euro-American	'good	'unknown	'good
'2024-05-22	'8864-03	'illumina	'8864-03_illumina	'M. africanum	'6	'West African 2	'good	'6	'West-Africa 2	'good	'6	'West-Africa 2	'good	'unknown	'good
'2024-05-22	'8867-03	'illumina	'8867-03_illumina	'M. africanum	'6	'West African 2	'good	'6	'West-Africa 2	'good	'6	'West-Africa 2	'good	'unknown	'good
'2024-05-22	'8868-03	'illumina	'8868-03_illumina	'M. africanum	'5	'West African 1a	'good	'5	'West-Africa 1	'bad	'5	'West-Africa 1	'bad	'unknown	'good
